127.0.0.1 - - [14/Jan/2021:11:49:22 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [14/Jan/2021:11:49:28 +0530] "GET /libraryManagement/index.jsp HTTP/1.1" 200 2290
0:0:0:0:0:0:0:1 - - [14/Jan/2021:11:49:37 +0530] "GET /libraryManagement/index.jsp HTTP/1.1" 200 2290
0:0:0:0:0:0:0:1 - - [14/Jan/2021:11:49:39 +0530] "GET /libraryManagement/index.jsp HTTP/1.1" 200 2290
0:0:0:0:0:0:0:1 - - [14/Jan/2021:11:49:46 +0530] "GET /libraryManagement/index.jsp HTTP/1.1" 200 2290
0:0:0:0:0:0:0:1 - - [14/Jan/2021:11:50:03 +0530] "GET /libraryManagement/index.jsp HTTP/1.1" 200 2290
0:0:0:0:0:0:0:1 - - [14/Jan/2021:11:50:20 +0530] "GET /libraryManagement/index.jsp HTTP/1.1" 200 2290
0:0:0:0:0:0:0:1 - - [14/Jan/2021:11:50:37 +0530] "GET /libraryManagement/addBook.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jan/2021:11:50:37 +0530] "GET /libraryManagement/login.jsp HTTP/1.1" 200 291
0:0:0:0:0:0:0:1 - - [14/Jan/2021:11:50:56 +0530] "GET /libraryManagement/login2.jsp?username=chintan&password=chintan HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jan/2021:11:50:56 +0530] "GET /libraryManagement/login2.jsp?username=chintan&password=chintan HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jan/2021:11:50:56 +0530] "GET /libraryManagement/index.jsp HTTP/1.1" 200 2290
0:0:0:0:0:0:0:1 - - [14/Jan/2021:11:51:00 +0530] "GET /libraryManagement/addBook.jsp HTTP/1.1" 200 2565
0:0:0:0:0:0:0:1 - - [14/Jan/2021:11:51:16 +0530] "GET /libraryManagement/addMember.jsp HTTP/1.1" 200 2430
0:0:0:0:0:0:0:1 - - [14/Jan/2021:11:51:26 +0530] "GET /libraryManagement/issueBook.jsp HTTP/1.1" 200 2878
0:0:0:0:0:0:0:1 - - [14/Jan/2021:11:51:29 +0530] "GET /libraryManagement/returnBook.jsp HTTP/1.1" 200 2732
0:0:0:0:0:0:0:1 - - [14/Jan/2021:11:56:22 +0530] "GET /libraryManagement/index.jsp HTTP/1.1" 200 2290
0:0:0:0:0:0:0:1 - - [14/Jan/2021:11:58:09 +0530] "GET /libraryManagement/addBook.jsp HTTP/1.1" 200 2565
0:0:0:0:0:0:0:1 - - [14/Jan/2021:11:58:21 +0530] "GET /libraryManagement/addMember.jsp HTTP/1.1" 200 2430
0:0:0:0:0:0:0:1 - - [14/Jan/2021:11:58:25 +0530] "GET /libraryManagement/issueBook.jsp HTTP/1.1" 200 2878
0:0:0:0:0:0:0:1 - - [14/Jan/2021:11:58:31 +0530] "GET /libraryManagement/returnBook.jsp HTTP/1.1" 200 2732
0:0:0:0:0:0:0:1 - - [14/Jan/2021:11:58:48 +0530] "GET /libraryManagement/addBook.jsp HTTP/1.1" 200 2565
0:0:0:0:0:0:0:1 - - [14/Jan/2021:11:59:23 +0530] "GET /libraryManagement/addBook2.jsp?book_name=assfrgg&book_author=ehtfb&book_price=222 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jan/2021:11:59:23 +0530] "GET /libraryManagement/addBook.jsp HTTP/1.1" 200 2565
